date,date,open,high,close,low,volume
2016-07-28,,3204.46,3235.78,3221.14,3195.27,112779964.0
2016-07-29,,3217.19,3225.42,3203.93,3198.68,88044837.0
2016-08-01,,3196.43,3199.98,3176.81,3156.75,87003497.0
2016-08-02,,3173.76,3189.05,3189.05,3165.54,62167639.0
2016-08-03,,3179.68,3197.16,3193.51,3173.54,72864102.0
2016-08-04,,3190.55,3201.55,3201.29,3170.42,73504373.0
2016-08-05,,3201.35,3224.87,3205.11,3192.86,77196366.0
2016-08-08,,3199.57,3234.48,3234.18,3187.25,86676051.0
2016-08-09,,3232.6,3257.33,3256.98,3229.17,91065259.0
2016-08-10,,3255.18,3261.86,3243.34,3242.75,90430372.0
2016-08-11,,3239.56,3274.03,3233.36,3232.61,101041213.0
2016-08-12,,3231.81,3294.23,3294.23,3231.14,116254044.0
2016-08-15,,3303.47,3417.91,3393.42,3302.38,220543421.0
2016-08-16,,3403.38,3418.69,3378.25,3372.02,196389740.0
2016-08-17,,3377.77,3394.39,3373.05,3356.92,138847688.0
2016-08-18,,3369.95,3394.79,3364.49,3349.69,142380169.0
2016-08-19,,3358.55,3374.04,3365.02,3341.19,119961508.0
2016-08-22,,3364.68,3372.83,3336.79,3335.47,107951008.0
2016-08-23,,3332.62,3359.65,3341.83,3324.96,92924516.0
2016-08-24,,3341.93,3348.13,3329.86,3323.73,81191429.0
2016-08-25,,3314.08,3315.08,3308.97,3279.81,100589153.0
2016-08-26,,3312.5,3328.95,3307.09,3301.74,81530691.0
2016-08-29,,3306.57,3315.08,3307.78,3297.07,77036333.0
2016-08-30,,3310.32,3325.12,3311.99,3304.6,75725987.0
2016-08-31,,3310.57,3333.97,3327.79,3304.66,79570805.0
2016-09-01,,3326.74,3329.35,3301.58,3301.21,84947219.0
2016-09-02,,3298.72,3320.43,3314.11,3295.76,82791803.0
2016-09-05,,3321.01,3338.42,3319.68,3314.63,78292477.0
2016-09-06,,3322.02,3347.95,3342.63,3300.13,98283998.0
2016-09-07,,3344.07,3357.36,3340.82,3337.75,102940106.0
2016-09-08,,3338.01,3343.4,3339.56,3328.23,71916158.0
2016-09-09,,3339.37,3344.95,3318.04,3318.04,82657036.0
2016-09-12,,3271.87,3276.72,3262.6,3234.57,122917682.0
2016-09-13,,3265.34,3269.22,3260.33,3246.39,67180288.0
2016-09-14,,3245.74,3255.0,3238.73,3231.34,70432697.0
2016-09-19,,3242.74,3264.9,3263.12,3242.74,58831082.0
2016-09-20,,3264.66,3265.04,3257.4,3252.39,52784206.0
2016-09-21,,3257.71,3270.9,3266.64,3254.32,59142979.0
2016-09-22,,3281.47,3303.2,3291.12,3277.98,75753542.0
2016-09-23,,3292.28,3293.92,3275.67,3275.02,57993986.0
2016-09-26,,3267.69,3267.69,3220.28,3220.28,70452186.0
2016-09-27,,3214.87,3240.78,3240.75,3214.44,58460550.0
2016-09-28,,3243.65,3243.65,3230.89,3228.0,44727498.0
2016-09-29,,3234.86,3257.77,3244.39,3234.8,55452556.0
2016-09-30,,3240.18,3260.94,3253.28,3239.04,44978022.0
2016-10-10,,3265.36,3294.64,3293.87,3258.96,80519260.0
2016-10-11,,3296.87,3308.0,3306.56,3292.88,87713163.0
